"Add route","Añadir ruta"
"Route","Ruta"
"TTL","TTL"
"All content types","Todos los tipos de contenido"
"All stores","Todas las tiendas"
"An error occurred while clearing the Varnish cache.","Ocurrió un error al vaciar Varnish Cache."
"CSS","CSS"
"Cache TTL for routes","Cache TTL for routes"
"Clean Varnish Cache","Vaciar Varnish Cache"
"Debug","Debug"
"Default cache TTL","Default cache TTL"
"Disable caching","Deshabilitar el almacenamiento en caché"
"Disable caching for routes","Deshabilitar el almacenamiento en caché para rutas"
"Disable caching vars","Deshabilitar el almacenamiento en caché de variable"
"Domain or IP list separted by semicolon (e.g. host1;127.0.0.1)","Lista de dominio o IP separada por punto y coma (por ejemplo,Lista de dominio o IP separada por punto y coma (por ejemplo host1;127.0.0.1)"
"Enable cache module","Habilitar el módulo de caché"
"HTML","HTML"
"Images","Imágenes"
"JavaScript","JavaScript"
"PageCache powered by Varnish Settings","PageCache powered by Varnish configuración"
"PageCache powered by Varnish Community version: %s","PageCache powered by Varnish Community versión: %s"
"Pass X-headers for debugging purpose to the client and log purge requests to /var/log/varnish_cache.log (ensure developer log is enabled).","Pase HTTP X-encabezados para propósitos de depuraciónen al cliente y registre las solicitudes de purge en /var/log/varnish_cache.log (asegúrese de que el registro para desarrolladores está habilitado)."
"Port of the Varnish servers (e.g. 8080)","Puerto de los servidores de Varnish (por ejemplo 8080)"
"Purge CMS page","Purgar página de CMS"
"Purge CMS page's cache item on save","Purgar elemento página de CMS de la caché al guardar"
"Purge categorie's cache item on save","Purga elemento Categoría de la caché al guardar"
"Purge category","Purgar categoría"
"Purge product","Purgar producto"
"Purge product's cache item on save","Purgar elemento Producto de la caché al guardar"
"Remove selected cache items in external Varnish cache.","Quitar los elementos seleccionados de caché en la caché externa Varnish."
"Request variables that force setting of NO_CACHE cookie to permanent disable caching for visitor.","Variables de solicitud que asignan un NO_CACHE cookie para deshabilitar permanente el caché para el visitante."
"Server port","Puerto del servidor"
"Set a TTL of ""0"" for certain routes/actions (e.g. checkout, catalog_product_view). Use one per line.","Set a TTL of ""0"" for certain routes/actions (e.g. checkout, catalog_product_view). Use one per line."
"Set a TTL of ""0"" for every request","Asignar un TTL de ""0"" para todas las solicitudes"
"TTL for cached pages in seconds (e.g. ""1800"" = page cache is valid for 30 minutes).","TTL para las páginas en caché en segundos (por ejemplo, ""1800"" =  page cache es válido por 30 minutos)."
"TTL for cached pages in seconds for certain routes/actions (e.g. Route:""catalog_product_view"", TTL:""7200"").","TTL for cached pages in seconds for certain routes/actions (e.g. Route:""catalog_product_view"", TTL:""7200"")."
"The JavaScript/CSS cache has been cleaned on the Varnish servers.","JavaScript / CSS caché se ha limpiado en los servidores de Varnish."
"The Varnish cache has been cleaned.","La caché de Varnish se ha limpiado."
"The catalog image cache has been cleaned on the Varnish servers.","El caché de imágenes de catálogo se ha limpiado en los servidores de Varnish."
"Varnish cache for ""%s"" has been purged.","La caché de Varnish de ""%s"" ha sido purgada."
"Varnish cache for the product's categories has been purged.","La caché de Varnish para las categorías del producto ha sido purgada."
"Varnish servers","Servidores de Varnish"
"Quick Purge","Quick Purge"
"Ban URL in Varnish Cache.","Ban URL in Varnish Cache."
"Invalid URL ""%s"".","Invalid URL ""%s""."
"Invalid domain ""%s"".","Invalid domain ""%s""."
"The URL's ""%s"" cache has been cleaned.","The URL's ""%s"" cache has been cleaned."
"Update Varnish VCL with design exceptions by using the following snippet:","Update Varnish VCL with design exceptions by using the following snippet:"
