"Add route","Legg rute"
"Route","Rute"
"TTL","TTL"
"All content types","Alle typer innhold"
"All stores","Alle butikker"
"An error occurred while clearing the Varnish cache.","En feil oppstod under tømming av Varnish cache."
"CSS","CSS"
"Cache TTL for routes","Cache TTL for routes"
"Clean Varnish Cache","Tøm Varnish Cache"
"Debug","Debug"
"Default cache TTL","Default cache TTL"
"Disable caching","Deaktiver caching"
"Disable caching for routes","Deaktiver caching for ruter"
"Disable caching vars","Deaktiver caching vars"
"Domain or IP list separted by semicolon (e.g. host1;127.0.0.1)","Domene eller IP listen separert med semikolon (f.eks host1;127.0.0.1)"
"Enable cache module","Aktiver cache modulen"
"HTML","HTML"
"Images","Bilder"
"JavaScript","JavaScript"
"PageCache powered by Varnish Settings","PageCache powered by Varnish innstillinger"
"PageCache powered by Varnish Community version: %s","PageCache powered by Varnish Community versjon: %s"
"Pass X-headers for debugging purpose to the client and log purge requests to /var/log/varnish_cache.log (ensure developer log is enabled).","Pass HTTP X-headere for debugging formål til klienten og logg purge forespørsler til /var/log/varnish_cache.log (husk å sikre at utvikleren loggen er aktivert)."
"Port of the Varnish servers (e.g. 8080)","Porten for Varnish-servere (f.eks. 8080)"
"Purge CMS page","Tøm CMS side"
"Purge CMS page's cache item on save","Tøm buffer element av CMS side ved lagring"
"Purge categorie's cache item on save","Tøm Cache-Element kategori ved lagring"
"Purge category","Tomme kategorien"
"Purge product","Tøm produkt"
"Purge product's cache item on save","Tøm Cache-Element produkt ved lagring"
"Remove selected cache items in external Varnish cache.","Fjern valgte cache elementer i den eksterne Varnish cache."
"Request variables that force setting of NO_CACHE cookie to permanent disable caching for visitor.","Forerspørsel variabler som setter en NO_CACHE cookie for å  å deaktivere permanent caching for besøkende."
"Server port","Server port"
"Set a TTL of ""0"" for certain routes/actions (e.g. checkout, catalog_product_view). Use one per line.","Set a TTL of ""0"" for certain routes/actions (e.g. checkout, catalog_product_view). Use one per line."
"Set a TTL of ""0"" for every request","Sett en TTL på ""0"" for hver forespørsel"
"TTL for cached pages in seconds (e.g. ""1800"" = page cache is valid for 30 minutes).","TTL for cached pages in seconds (e.g. ""1800"" = page cache is valid for 30 minutes)."
"TTL for cached pages in seconds for certain routes/actions (e.g. Route:""catalog_product_view"", TTL:""7200"").","TTL for cached pages in seconds for certain routes/actions (e.g. Route:""catalog_product_view"", TTL:""7200"")."
"The JavaScript/CSS cache has been cleaned on the Varnish servers.","JavaScript/CSS cache har blitt tomt på Varnish servere."
"The Varnish cache has been cleaned.","Varnish cache har blitt tomt."
"The catalog image cache has been cleaned on the Varnish servers.","Katalog bilder cache har blitt tomt på Varnish servere."
"Varnish cache for ""%s"" has been purged.","Varnish cache for "% s" har blitt tømt."
"Varnish cache for the product's categories has been purged.","Varnish cache av produktets kategorier har blitt tømt."
"Varnish servers","Varnish-servere"
"Quick Purge","Quick Purge"
"Ban URL in Varnish Cache.","Ban URL in Varnish Cache."
"Invalid URL ""%s"".","Invalid URL ""%s""."
"Invalid domain ""%s"".","Invalid domain ""%s""."
"The URL's ""%s"" cache has been cleaned.","The URL's ""%s"" cache has been cleaned."
"Update Varnish VCL with design exceptions by using the following snippet:","Update Varnish VCL with design exceptions by using the following snippet:"
